排名,电影名称,上映时间,总票房(万),平均票价,平均场次
1,长津湖,2021-09-30,5775749383,46,22
2,战狼2,2017-07-27,5688740597,36,37
3,你好，李焕英,2021-02-12,5413299787,45,24
4,哪吒之魔童降世,2019-07-26,5035021006,36,23
5,流浪地球,2019-02-05,4687712649,45,29
6,满江红,2023-01-22,4545888428,50,24
7,唐人街探案3,2021-02-12,4522347224,48,29
8,复仇者联盟4：终局之战,2019-04-24,4250383910,49,23
9,长津湖之水门桥,2022-02-01,4069225138,49,19
10,流浪地球2,2023-01-22,4030269954,51,21
11,孤注一掷,2023-08-08,3851179258,41,18
12,红海行动,2018-02-16,3652535241,39,32
13,消失的她,2023-06-22,3526695428,42,21
14,热辣滚烫,2024-02-10,3437460176,48,23
15,唐人街探案2,2018-02-16,3397689253,39,39
16,美人鱼,2016-02-08,3397175023,37,43
17,飞驰人生2,2024-02-10,3342320502,48,21
18,我和我的祖国,2019-09-30,3176393301,38,35
19,独行月球,2022-07-29,3104766724,42,12
20,八佰,2020-08-21,3102323734,38,20
21,我不是药神,2018-07-05,3099961063,35,27
22,中国机长,2019-09-30,2913710384,37,25
23,我和我的家乡,2020-10-01,2828956017,39,19
24,速度与激情8,2017-04-14,2670959285,37,30
25,封神第一部：朝歌风云,2023-07-20,2636076304,43,16
26,这个杀手不太冷静,2022-02-01,2629196844,48,14
27,西虹市首富,2018-07-27,2547571742,35,28
28,捉妖记,2015-07-16,2441462276,37,41
29,速度与激情7,2015-04-12,2426586547,39,42
30,第二十条,2024-02-10,2392708058,46,18
31,复仇者联盟3：无限战争,2018-05-11,2390537333,38,19
32,捉妖记2,2018-02-16,2237154621,38,44
33,疯狂的外星人,2019-02-05,2214254201,42,30
34,八角笼中,2023-07-06,2208714487,41,18
35,羞羞的铁拳,2017-09-30,2201748735,33,25
36,海王,2018-12-07,2013200124,36,18
37,变形金刚4：绝迹重生,2014-06-27,1977522538,42,50
38,前任3：再见前任,2017-12-29,1941740154,35,29
39,熊出没·逆转时空,2024-02-10,1936026737,46,26
40,毒液：致命守护者,2018-11-09,1870680440,36,17
41,长安三万里,2023-07-08,1825399663,41,19
42,功夫瑜伽,2017-01-28,1752603744,38,33
43,飞驰人生,2019-02-05,1729374300,42,25
44,人生大事,2022-06-24,1713157694,40,10
45,烈火英雄,2019-08-01,1707188998,36,19
46,阿凡达：水之道,2022-12-16,1697503373,50,8
47,侏罗纪世界2,2018-06-15,1695882459,36,19
48,寻龙诀,2015-12-18,1682742951,36,40
49,西游伏妖篇,2017-01-28,1655926405,39,36
50,港囧,2015-09-25,1614103705,33,40
